Ac	D	Av	is_border
10081	58.19985119	15061	1
5759	25.59874069	8705	1
7711	123.133648	66532	1
6317	83.65353402	27462	1
5684	82.6562832	24040	1
9410	71.68163276	29510	1
8720	144.8887199	89425	1
6026	203.591393	68815	1
4891	202.530171	55116	1
5808	178.2996588	49378	1
15982	127.4653295	60862	1
11762	131.6401858	53286	1
2795	112.3461601	153051	1
7189	102.5811394	92694	1
5056	177.0450107	83536	1
7601	38.18715681	18069	1
17718	161.7316487	65771	1
4533	131.0341161	34540	1
4822	382.9508493	115770	1
13946	301.5548837	107651	1
8702	289.1623745	159572	1
11218	281.0519408	156904	1
23068	114.6882968	43512	1
17838	246.8040034	106019	1
13818	238.1888251	286299	1
6011	108.8452156	39986	1
10384	49.1635453	15917	1
9371	146.3004283	39787	1
8328	176.7227303	65738	1
3968	156.5964273	52232	1
3093	207.8119231	48378	1
16386	53.57924494	22294	1
10490	50.3854397	13300	1
12233	34.63880554	15447	1
7067	517.5600412	322318	1
6323	328.6432711	148186	1
11372	434.0841824	186908	1
8499	57.0836813	17932	1
9206	41.20147123	12945	1
12052	286.0500281	109263	1
8675	193.885001	199537	1
15725	73.09827542	59568	1
9114	203.2406557	73826	1
14524	104.6699497	46531	1
11001	43.49318635	24151	1
10237	251.0842145	103125	1
16216	168.5713239	60521	1
10227	190.2024038	52210	1
6777	99.41692691	35502	1
7205	60.2452001	18939	1
9130	130.2791791	47044	1
4013	67.22432131	6716	1
13498	499.0249027	244807	1
