NORM_D	NORM_A	is_border
-0.393671228	-0.271965925	0
-0.313288475	-0.256769848	0
-0.268642711	-0.314673697	0
-0.397316488	-0.291316785	0
-0.436640979	-0.241968828	0
-0.41629657	-0.278859965	0
-0.431141576	-0.0875061	0
-0.348790448	-0.277630279	0
-0.400109152	-0.281132283	0
-0.35777389	-0.239329604	0
-0.340951693	-0.236008824	0
-0.400665495	-0.269846818	0
-0.326660236	-0.291525926	0
-0.410475122	-0.266872692	0
-0.4104028	-0.26981138	0
-0.277921273	-0.322435077	0
-0.408517769	-0.294503198	0
-0.429671685	-0.295835376	0
-0.399296269	-0.292744854	0
-0.420915443	-0.254729149	0
-0.433276394	-0.302264204	0
-0.358322631	-0.269102962	0
-0.337277401	-0.281716489	0
-0.360801253	-0.294762783	0
-0.308537105	-0.276239226	0
-0.239675051	-0.284660566	0
-0.377432469	-0.280413735	0
-0.372185759	-0.289578964	0
-0.416248916	-0.302138005	0
-0.357295031	-0.279241946	0
-0.420037543	-0.241750841	0
-0.36470093	-0.259465037	0
-0.438768061	-0.20079776	0
-0.462458285	-0.274193685	0
-0.391533174	-0.253868262	0
-0.427628388	-0.295988536	0
-0.426303794	-0.291475479	0
-0.444821419	-0.257275716	0
-0.388341891	-0.24078605	0
-0.416373781	-0.195115289	0
-0.385638171	-0.255965287	0
-0.409467877	-0.281167329	0
-0.39009905	-0.226622938	0
-0.398514671	-0.272205422	0
-0.391099089	-0.239829057	0
-0.402522842	-0.259744858	0
-0.410577742	-0.248827774	0
-0.416259221	-0.273299477	0
-0.448006322	-0.268558076	0
-0.453982367	-0.289241599	0
-0.40882312	-0.269268607	0
-0.38361244	-0.237689507	0
-0.406136274	-0.245009357	0
-0.354916947	-0.210353994	0
-0.332051311	-0.233332158	0
-0.42622449	-0.240348013	0
-0.435135734	-0.23147493	0
-0.336080517	-0.262090686	0
-0.350978196	-0.291393288	0
-0.364880845	-0.235967642	0
-0.360269258	-0.263144455	0
-0.404376208	-0.229521214	0
-0.414454843	-0.273431347	0
-0.431459634	-0.27677235	0
-0.388730366	-0.239752992	0
-0.412379464	-0.099966076	0
-0.433407718	-0.244405374	0
-0.405919314	-0.157863627	0
-0.401074499	-0.248213403	0
-0.398122244	-0.254175298	0
-0.33482564	-0.275371121	0
-0.353844492	-0.230031251	0
-0.41532483	-0.245997377	0
-0.34646277	-0.249811269	0
-0.385946666	-0.26192341	0
-0.453268378	-0.176691628	0
-0.438984583	-0.199956375	0
-0.443206858	-0.187397122	0
-0.411921344	-0.20427506	0
-0.366252668	-0.223565388	0
-0.39217921	-0.122335124	0
-0.395883154	0.084942572	0
-0.371700339	-0.215820388	0
-0.43034749	-0.022301986	0
-0.38191851	-0.228135135	0
-0.418489252	-0.221448595	0
-0.414308484	-0.210931209	0
-0.433940967	-0.041025609	0
-0.430404132	0.184090538	0
-0.387356014	-0.19168917	0
-0.369844819	-0.203402578	0
-0.41194083	-0.186995928	0
-0.364991476	-0.182008297	0
-0.431240273	-0.207941942	0
-0.347759144	-0.244974534	0
-0.328314606	-0.225625691	0
-0.430498864	-0.256866421	0
-0.285815551	-0.170237961	0
-0.442393917	-0.217602925	0
-0.440031962	-0.228922149	0
-0.360012544	-0.228042963	0
-0.355112769	-0.297607583	0
-0.368215518	-0.268680731	0
-0.390773649	-0.250743914	0
-0.37535825	-0.282176515	0
-0.357913133	-0.259701684	0
-0.394143751	-0.276064123	0
-0.42217883	-0.2774656	0
-0.419058822	-0.237929341	0
-0.361143384	-0.286697003	0
-0.419704569	-0.276850308	0
-0.411844275	-0.305062419	0
-0.387856463	-0.226474705	0
-0.389077376	-0.274141615	0
-0.367751906	-0.259763981	0
-0.313505306	-0.263715031	0
-0.408464685	-0.247347638	0
-0.397760455	-0.250875036	0
-0.354869681	-0.274048457	0
-0.441658106	-0.254079281	0
-0.404412675	-0.282255272	0
-0.423155767	-0.167182642	0
-0.369153471	-0.260613906	0
-0.382512161	-0.260085731	0
-0.448962133	-0.213436869	0
-0.316288265	4.135914226	0
-0.309912705	-0.270636877	0
-0.25014487	-0.232086505	0
-0.14882885	-0.231748423	0
-0.339447645	-0.26424889	0
-0.294918559	-0.291212079	0
-0.234556825	-0.32173532	0
-0.231857367	-0.28844711	0
-0.274687212	-0.311077047	0
-0.388626874	-0.296491558	0
-0.353195619	-0.292980522	0
-0.336364909	-0.286922594	0
-0.317541518	-0.253041721	0
-0.454780763	-0.248078158	0
-0.339216265	-0.295509754	0
-0.302118027	-0.259962721	0
-0.399852197	-0.266143264	0
-0.301690401	-0.281513476	0
-0.254612163	-0.274387704	0
-0.351469954	-0.298314865	0
-0.367239586	-0.270005982	0
-0.429401514	-0.279602178	0
-0.336397831	-0.27049362	0
-0.411557956	-0.286844281	0
-0.334423703	-0.267567643	0
-0.377853462	-0.290182219	0
-0.384257003	-0.189314861	0
-0.38686642	-0.299241677	0
-0.393593309	-0.262705756	0
-0.37949228	-0.282433277	0
-0.374603774	-0.235960556	0
-0.175383281	-0.294766935	0
-0.310441346	-0.282123444	0
-0.348033745	-0.294178371	0
-0.338393664	-0.283252027	0
-0.38449114	-0.2640944	0
-0.327511618	-0.285529856	0
-0.395125807	-0.25764259	0
-0.343611035	-0.27957889	0
-0.324374055	-0.288650186	0
-0.339446851	-0.279449691	0
-0.353597405	-0.285393613	0
0.417252412	-0.100136256	1
0.334090877	-0.180424895	1
0.185833932	-0.133777518	1
-0.1964234	-0.239770723	1
-0.012322105	-0.111653941	1
-0.173642446	-0.306008284	1
-0.076237684	-0.293625383	1
0.055969171	-0.267550378	1
0.32406401	-0.270737521	1
-0.119137013	-0.267693505	1
1.206816918	0.966779328	1
0.670098181	0.224206807	1
0.656540895	0.203755403	1
0.50734425	0.01409293	1
1.50256973	1.24899746	1
2.300612629	1.450998411	1
2.286185676	1.424836727	1
1.956780094	0.944841198	1
1.265704657	0.130683066	1
1.32246041	0.255956594	1
1.060164685	8.96872937	1
0.927412546	1.706714421	1
1.93972358	2.336086826	1
0.051998228	-0.117537224	1
1.731543625	0.114020499	1
1.314221098	0.791839474	1
4.738943506	3.634725572	1
