Av	D	is_border
2869	2.442299265	0
1667	2.702462818	0
2326	5.869008895	0
2556	7.157102459	0
2467	4.060591762	0
2545	7.51410613	0
2810	2.640957713	0
3832	8.781687063	0
3452	10.21199402	0
3458	2.695494482	0
3278	13.33815194	0
2281	1.820514674	0
2410	1.994256097	0
2953	7.880347851	0
4881	8.240766921	0
3343	7.276951065	0
2850	5.617613452	0
3940	6.7515439	0
4109	8.034776915	0
3468	5.369714541	0
3574	3.307501965	0
3543	3.537004429	0
3798	7.797165155	0
3714	3.489504377	0
4040	4.067694236	0
2636	5.832196705	0
3711	5.742388426	0
2842	7.311053575	0
2937	11.30134085	0
3818	4.316291053	0
3291	5.103675985	0
2910	8.258648052	0
2967	1.874639723	0
4407	4.614350018	0
2505	3.235640153	0
3617	7.207956838	0
3453	6.225314439	0
2939	1.337367937	0
8177	11.09663117	0
7168	11.56560645	0
6390	15.96202637	0
8984	23.4146598	0
8948	9.393066725	0
3389	12.66855026	0
3325	17.10865634	0
6155	17.30722386	0
6586	14.15673361	0
4634	5.775526608	0
5530	8.381789236	0
3639	9.619827525	0
3283	11.00444399	0
2731	0.909359472	0
4036	9.410086602	0
4021	12.13896969	0
3266	4.949810971	0
6190	12.17042511	0
4575	15.63341993	0
5814	8.508726154	0
3359	7.348738989	0
3310	2.776213699	0
5044	9.617405848	0
4408	4.088755336	0
3327	9.762619317	0
4230	6.568000353	0
2360	6.096966802	0
3755	5.905022576	0
3478	5.410204116	0
4488	6.447451721	0
4609	6.807041886	0
7817	21.46136122	0
7706	11.52672053	0
5358	8.761487881	0
6168	9.470595737	0
3938	6.079744095	0
6073	10.27106049	0
3354	5.297476196	0
3964	9.086814833	0
5613	10.50185428	0
3826	9.393125142	0
5693	8.352234533	0
19602	65.05463096	1
13482	58.93741045	1
10767	48.03188271	1
7334	19.91368599	1
11161	33.45586295	1
16647	21.58941405	1
15003	28.75434208	1
23531	38.47925258	1
15061	58.19985119	1
8705	25.59874069	1
66532	123.133648	1
27462	83.65353402	1
24040	82.6562832	1
29510	71.68163276	1
89425	144.8887199	1
68815	203.591393	1
55116	202.530171	1
49378	178.2996588	1
60862	127.4653295	1
53286	131.6401858	1
153051	112.3461601	1
92694	102.5811394	1
83536	177.0450107	1
18069	38.18715681	1
65771	161.7316487	1
34540	131.0341161	1
115770	382.9508493	1
107651	301.5548837	1
159572	289.1623745	1
156904	281.0519408	1
43512	114.6882968	1
106019	246.8040034	1
286299	238.1888251	1
39986	108.8452156	1
15917	49.1635453	1
39787	146.3004283	1
65738	176.7227303	1
52232	156.5964273	1
48378	207.8119231	1
22294	53.57924494	1
13300	50.3854397	1
15447	34.63880554	1
322318	517.5600412	1
148186	328.6432711	1
186908	434.0841824	1
17932	57.0836813	1
12945	41.20147123	1
109263	286.0500281	1
199537	193.885001	1
59568	73.09827542	1
73826	203.2406557	1
