D/Fn	Av/An	is_border
0.163045503	2.32519685	0
0.156803615	3.911057692	0
0.151570307	2.950573698	0
0.109126066	2.621895124	0
0.153404434	3.319292334	0
0.155147465	2.780108254	0
0.106776694	3.118705036	0
0.070904011	3.179715302	0
0.071692742	2.451903114	0
0.168866304	3.47483989	0
0.074736925	3.158163265	0
0.10474839	4.344086022	0
0.132962714	2.32246696	0
0.131290904	3.07966805	0
0.16947548	2.761904762	0
0.280007157	2.840425532	0
0.086795733	2.576248313	0
0.105482939	2.6328	0
0.222557078	3.089171975	0
0.045955838	2.6875	0
0.102744317	3.328549849	0
0.062689196	1.902050114	0
0.154626086	2.793050193	0
0.133916321	2.782433521	0
0.027646706	2.190014903	0
0.232750885	6.413333333	0
0.236773548	5.381381381	0
0.337485678	4.907834101	0
0.435928147	4.738396624	0
0.160806315	5.323022011	0
0.328196533	3.877574371	0
0.647571938	10.26234568	0
0.363017532	4.274305556	0
0.28873262	4.914925373	0
0.128503809	3.87458194	0
0.154242876	3.731443995	0
0.215917284	3.478967495	0
0.211000659	2.647580645	0
0.022016363	2.581285444	0
0.199359061	3.811142587	0
0.250942555	2.794301598	0
0.110131873	2.897959184	0
0.213746476	3.33512931	0
0.342456648	3.516525749	0
0.165475676	4.126330731	0
0.135072464	3.007162041	0
0.061034063	3.219844358	0
0.168960592	3.029429429	0
0.084705756	3.473601261	0
0.205813934	2.923550088	0
0.141157464	3.606138107	0
0.12250408	2.018819504	0
0.132404953	4.011752137	0
0.110689278	2.829943043	0
0.145152396	3.441717791	0
0.116739843	2.458133333	0
0.409625028	4.994888179	0
0.237828614	6.111022998	0
0.195912648	4.049886621	0
0.197604602	4.623688156	0
0.126387233	3.069368667	0
0.188151189	3.442743764	0
0.115462981	2.737959184	0
0.196154009	3.278742763	0
0.209995087	4.374902572	0
0.195266623	3.231418919	0
0.164402739	3.841430499	0
1.095872887	8.522608696	1
0.946915008	6.233009709	1
0.99506491	8.119909502	1
0.339426644	3.679879579	1
0.724566916	7.415946844	1
0.351617403	8.31934033	1
0.43972868	7.343612335	1
0.428447467	8.916635089	1
1.082612697	9.072891566	1
0.451258839	5.562300319	1
2.646350882	48.59897736	1
1.658213091	18.11477573	1
1.483116069	12.76008493	1
1.352483637	17.83081571	1
2.414140063	43.64324061	1
4.007428484	50.63649742	1
4.04091331	41.81790592	1
2.893925323	28.52570768	1
2.054825228	31.81495034	1
1.602748993	20.50250096	1
2.521612543	138.6331522	1
2.114739297	71.85581395	1
3.624503	52.70410095	1
0.73423285	12.67110799	1
2.779811359	34.09590461	1
2.22315545	17.97086368	1
6.382514155	59.2173913	1
4.130504059	54.92397959	1
3.88636644	61.09188361	1
4.118007323	87.26585095	1
1.490590862	14.47023612	1
4.367014419	72.51641587	1
3.684994393	130.730137	1
2.371810186	29.7514881	1
0.684280163	5.196539341	1
2.123866621	16.79485015	1
2.553700732	28.68150087	1
3.082394467	39.3313253	1
4.741403519	41.66925065	1
0.743225084	9.088463106	1
1.068169313	11.18587048	1
0.440981722	4.801678583	1
10.47554555	209.0259403	1
6.295667195	98.92256342	1
7.347869064	110.6619301	1
0.974119267	11.74328749	1
0.632746393	5.900182315	1
4.767500468	73.03676471	1
2.946800005	120.9315152	1
0.930603779	28.08486563	1
2.96299412	30.05944625	1
1.795075411	26.33333333	1
0.501748161	10.05872553	1
4.930809471	75	1
2.921199523	40.18658699	1
3.32259711	33.99088542	1
1.470142655	16.02799097	1
0.787670312	9.858927642	1
2.230338115	27.35116279	1
1.417212081	5.20620155	1
11.31519295	200.826087	1
