D	Av/Ac	is_border
5.369714541	1.463291139	0
3.307501965	1.455211726	0
3.537004429	1.683135392	0
7.797165155	1.401993355	0
3.489504377	1.458758837	0
4.067694236	1.296118062	0
5.832196705	1.749170537	0
5.742388426	1.474374255	0
7.311053575	1.557260274	0
11.30134085	1.534482759	0
4.316291053	1.62883959	0
5.103675985	1.608504399	0
8.258648052	1.474911303	0
1.874639723	1.590032154	0
4.614350018	1.427599611	0
3.235640153	2.090984975	0
7.207956838	1.552360515	0
6.225314439	1.555405405	0
1.337367937	1.824332713	0
11.09663117	26.89802632	0
11.56560645	1.494578816	0
15.96202637	1.716818915	0
23.4146598	1.718767936	0
9.393066725	1.5314051	0
12.66855026	1.375964271	0
17.10865634	1.2	0
17.30722386	1.391904116	0
14.15673361	1.261444168	0
5.775526608	1.345528455	0
8.381789236	1.365769326	0
9.619827525	1.400692841	0
11.00444399	1.596013612	0
0.909359472	1.624628198	0
9.410086602	1.351188483	0
12.13896969	1.556114551	0
4.949810971	1.520484171	0
12.17042511	1.431876012	0
15.63341993	1.47295557	0
8.508726154	1.335017222	0
7.348738989	1.498215879	0
2.776213699	1.442894507	0
9.617405848	1.495404684	0
4.088755336	1.40114431	0
9.762619317	1.512272727	0
6.568000353	1.381901339	0
6.096966802	1.963394343	0
5.905022576	1.329674221	0
5.410204116	1.540301151	0
6.447451721	1.426573427	0
6.807041886	1.694485294	0
21.46136122	1.355470782	0
11.52672053	1.428359592	0
8.761487881	1.358863809	0
9.470595737	1.421853389	0
6.079744095	1.53229572	0
10.27106049	1.408721874	0
5.297476196	1.569489939	0
9.086814833	1.443028759	0
10.50185428	1.390733399	0
9.393125142	1.443773585	0
8.352234533	1.409507304	0
65.05463096	2.477502528	1
58.93741045	2.014644351	1
48.03188271	2.283563097	1
19.91368599	1.672519954	1
33.45586295	2.41110391	1
21.58941405	1.290665219	1
28.75434208	1.362051748	1
38.47925258	1.51237226	1
58.19985119	1.493998611	1
25.59874069	1.511547144	1
123.133648	8.62819349	1
83.65353402	4.347316764	1
82.6562832	4.229415904	1
71.68163276	3.136025505	1
144.8887199	10.25516055	1
203.591393	11.41968138	1
202.530171	11.26886117	1
178.2996588	8.501721763	1
127.4653295	3.808159179	1
131.6401858	4.530351981	1
112.3461601	54.7588551	1
102.5811394	12.89386563	1
177.0450107	16.5221519	1
38.18715681	2.377187212	1
161.7316487	3.712100689	1
131.0341161	7.619677917	1
382.9508493	24.00871008	1
301.5548837	7.719130934	1
289.1623745	18.3373937	1
281.0519408	13.98680692	1
114.6882968	1.88624935	1
246.8040034	5.943435363	1
238.1888251	20.7192792	1
108.8452156	6.652137747	1
49.1635453	1.532838983	1
146.3004283	4.24575819	1
176.7227303	7.893611912	1
156.5964273	13.16330645	1
207.8119231	15.64112512	1
53.57924494	1.36055169	1
50.3854397	1.267874166	1
34.63880554	1.262731955	1
517.5600412	45.60888637	1
328.6432711	23.4360272	1
434.0841824	16.43580725	1
57.0836813	2.109895282	1
