D/fn	Av/Ac	is_border
0.038758858	1.897196262	0
0.006694369	1.474074074	0
0.118738693	1.591248666	0
0.051430879	1.348428343	0
0.074180411	1.374445788	0
0.033914184	1.571604938	0
0.134366794	1.666666667	0
0.078730356	1.929955291	0
0.146228548	1.57915947	0
0.086419687	1.433871522	0
0.11454214	1.748315983	0
0.120847747	1.485536271	0
0.122122236	1.672183663	0
0.095067258	1.557370518	0
0.09283092	1.620306716	0
0.091728792	1.479229122	0
0.031320381	1.506562956	0
0.02318152	1.387323944	0
0.089744197	1.502466793	0
0.130702008	1.684518014	0
0.086928556	1.64231961	0
0.178201599	1.842105263	0
0.217833496	1.709637815	0
0.073216722	1.669191919	0
0.050990485	1.720344599	0
0.171473973	1.543846987	0
0.158784324	1.374919614	0
0.150084976	1.694444444	0
0.174915327	1.537772087	0
0.105977883	1.731607629	0
0.090548908	1.4784689	0
0.060201646	1.459208262	0
0.116174286	1.672622176	0
0.078149979	2.478483607	0
0.052655545	1.645801527	0
0.101698256	2.144708423	0
0.109411632	1.623848516	0
0.105180296	1.589478628	0
0.19369492	1.467286245	0
0.15223444	1.728667306	0
0.07349187	1.636623748	0
0.190782773	1.614636935	0
0.130396716	1.544811321	0
0.021779241	2.036166365	0
0.042421887	1.902046784	0
0.037954895	1.974449965	0
0.098115365	1.877149877	0
0.171525726	1.765942537	0
0.113006789	2.349527665	0
0.1102613	3.544468547	0
0.14375751	1.8105919	0
0.047477394	2.926211454	0
0.144391371	1.739598278	0
0.072993213	1.778145695	0
0.099132019	1.838777661	0
0.041341509	2.81827112	0
0.055998334	4.116049383	0
0.13380196	1.949706622	0
0.157460569	1.882179676	0
0.085604727	1.976762821	0
0.14859762	2.005516154	0
0.052186343	1.856010568	0
0.166315106	1.64252036	0
0.211107198	1.754065041	0
0.061871516	1.573964497	0
0.218394365	2.073371284	0
0.036344945	1.800315706	0
0.048873555	1.735061195	0
0.163045503	1.740129641	0
0.156803615	1.33909465	0
0.151570307	1.505855856	0
0.109126066	1.609260305	0
0.153404434	1.428053643	0
0.155147465	1.557619409	0
0.106776694	1.463291139	0
0.070904011	1.455211726	0
0.071692742	1.683135392	0
0.168866304	1.401993355	0
0.074736925	1.458758837	0
0.10474839	1.296118062	0
0.132962714	1.749170537	0
0.131290904	1.474374255	0
0.16947548	1.557260274	0
0.280007157	1.534482759	0
0.086795733	1.62883959	0
0.105482939	1.608504399	0
0.222557078	1.474911303	0
0.045955838	1.590032154	0
0.102744317	1.427599611	0
0.062689196	2.090984975	0
0.154626086	1.552360515	0
0.133916321	1.555405405	0
0.027646706	1.824332713	0
0.232750885	26.89802632	0
0.236773548	1.494578816	0
0.337485678	1.716818915	0
0.435928147	1.718767936	0
0.160806315	1.5314051	0
0.328196533	1.375964271	0
0.647571938	1.2	0
0.363017532	1.391904116	0
0.28873262	1.261444168	0
0.128503809	1.345528455	0
0.154242876	1.365769326	0
0.215917284	1.400692841	0
0.211000659	1.596013612	0
0.022016363	1.624628198	0
0.199359061	1.351188483	0
0.250942555	1.556114551	0
0.110131873	1.520484171	0
0.213746476	1.431876012	0
0.342456648	1.47295557	0
0.165475676	1.335017222	0
0.135072464	1.498215879	0
0.061034063	1.442894507	0
0.168960592	1.495404684	0
0.084705756	1.40114431	0
0.205813934	1.512272727	0
0.141157464	1.381901339	0
0.12250408	1.963394343	0
0.132404953	1.329674221	0
0.110689278	1.540301151	0
0.145152396	1.426573427	0
0.116739843	1.694485294	0
0.409625028	1.355470782	0
0.237828614	1.428359592	0
0.195912648	1.358863809	0
0.197604602	1.421853389	0
0.126387233	1.53229572	0
0.188151189	1.408721874	0
0.115462981	1.569489939	0
0.196154009	1.443028759	0
0.209995087	1.390733399	0
0.195266623	1.443773585	0
0.164402739	1.409507304	0
1.095872887	2.477502528	1
0.946915008	2.014644351	1
0.99506491	2.283563097	1
0.339426644	1.672519954	1
0.724566916	2.41110391	1
0.351617403	1.290665219	1
0.43972868	1.362051748	1
0.428447467	1.51237226	1
1.082612697	1.493998611	1
0.451258839	1.511547144	1
2.646350882	8.62819349	1
1.658213091	4.347316764	1
1.483116069	4.229415904	1
1.352483637	3.136025505	1
2.414140063	10.25516055	1
4.007428484	11.41968138	1
4.04091331	11.26886117	1
2.893925323	8.501721763	1
2.054825228	3.808159179	1
1.602748993	4.530351981	1
2.521612543	54.7588551	1
2.114739297	12.89386563	1
3.624503	16.5221519	1
0.73423285	2.377187212	1
2.779811359	3.712100689	1
2.22315545	7.619677917	1
6.382514155	24.00871008	1
4.130504059	7.719130934	1
3.88636644	18.3373937	1
4.118007323	13.98680692	1
1.490590862	1.88624935	1
4.367014419	5.943435363	1
3.684994393	20.7192792	1
2.371810186	6.652137747	1
0.684280163	1.532838983	1
2.123866621	4.24575819	1
2.553700732	7.893611912	1
3.082394467	13.16330645	1
4.741403519	15.64112512	1
0.743225084	1.36055169	1
1.068169313	1.267874166	1
0.440981722	1.262731955	1
10.47554555	45.60888637	1
6.295667195	23.4360272	1
7.347869064	16.43580725	1
0.974119267	2.109895282	1
0.632746393	1.406148164	1
4.767500468	9.065964155	1
2.946800005	23.00138329	1
0.930603779	3.788108108	1
2.96299412	8.100285275	1
1.795075411	3.203731754	1
0.501748161	2.195345878	1
4.930809471	10.07375208	1
2.921199523	3.732178096	1
3.32259711	5.105113914	1
1.470142655	5.238601151	1
0.787670312	2.628591256	1
2.230338115	5.152683461	1
1.417212081	1.673560927	1
11.31519295	18.13653875	1
