EXP_ID	FILES_KEY	CLASS	NUCL.dna.AREA	NUCL.dna.FERET	NUCL.dna.X	NUCL.dna.Y	VORO.protein3.AREA	VORO.protein3.FERET	VORO.protein3.ROUND	VORO.protein3.AR	VORO.protein3.CENTRE_X	VORO.protein3.CENTRE_Y	CYTO.protein3.AREA
/Users/Remi/Dropbox/1_WORK/2015/4_PROJECTS/1_SOFTWARE/IMAGEJ_LIB/CELL SIGNALING ANALYSIS/2_CLASSIFY_BORDERCELLS/LOGISTIC REGRESSION/TRAINING DATA/BORDER	20170116_t0_ca_4	EDGE	1345	50.8035	58.0375	293.9535	52232	460.6539	0.5037	1.9852	210.851	328.6181	3954
/Users/Remi/Dropbox/1_WORK/2015/4_PROJECTS/1_SOFTWARE/IMAGEJ_LIB/CELL SIGNALING ANALYSIS/2_CLASSIFY_BORDERCELLS/LOGISTIC REGRESSION/TRAINING DATA/BORDER	20170116_t0_ca_4	EDGE	1165	43.8292	66.1506	189.3421	48378	532.3392	0.222	4.5041	273.0518	208.083	3090
/Users/Remi/Dropbox/1_WORK/2015/4_PROJECTS/1_SOFTWARE/IMAGEJ_LIB/CELL SIGNALING ANALYSIS/2_CLASSIFY_BORDERCELLS/LOGISTIC REGRESSION/TRAINING DATA/BORDER	20170116_t0_ca_4	EDGE	2458	72.0902	173.3377	674.1359	22294	275.855	0.4432	2.2563	160.2827	622.1786	16381
/Users/Remi/Dropbox/1_WORK/2015/4_PROJECTS/1_SOFTWARE/IMAGEJ_LIB/CELL SIGNALING ANALYSIS/2_CLASSIFY_BORDERCELLS/LOGISTIC REGRESSION/TRAINING DATA/BORDER	20170116_t0_ca_4	EDGE	1193	47.1699	444.1069	752.0423	13300	192.5097	0.5968	1.6755	478.8665	715.5582	10485
/Users/Remi/Dropbox/1_WORK/2015/4_PROJECTS/1_SOFTWARE/IMAGEJ_LIB/CELL SIGNALING ANALYSIS/2_CLASSIFY_BORDERCELLS/LOGISTIC REGRESSION/TRAINING DATA/BORDER	20170116_t0_ca_4	EDGE	3233	78.5493	990.53	755.6772	15447	252.6915	0.4154	2.4072	981.3815	722.2819	12221
/Users/Remi/Dropbox/1_WORK/2015/4_PROJECTS/1_SOFTWARE/IMAGEJ_LIB/CELL SIGNALING ANALYSIS/2_CLASSIFY_BORDERCELLS/LOGISTIC REGRESSION/TRAINING DATA/BORDER	20170116_t0_ca_4	EDGE	1544	49.4065	384.1444	1095.7273	322318	1001.0245	0.3953	2.5295	432.2172	1611.038	7063
/Users/Remi/Dropbox/1_WORK/2015/4_PROJECTS/1_SOFTWARE/IMAGEJ_LIB/CELL SIGNALING ANALYSIS/2_CLASSIFY_BORDERCELLS/LOGISTIC REGRESSION/TRAINING DATA/BORDER	20170116_t0_ca_4	EDGE	1502	52.2015	863.4341	1095.2044	148186	1034.6618	0.2675	3.7388	752.456	1404.5665	6318
/Users/Remi/Dropbox/1_WORK/2015/4_PROJECTS/1_SOFTWARE/IMAGEJ_LIB/CELL SIGNALING ANALYSIS/2_CLASSIFY_BORDERCELLS/LOGISTIC REGRESSION/TRAINING DATA/BORDER	20170116_t0_ca_4	EDGE	1696	59.4054	1098.5124	1199.2323	186908	1015.6427	0.213	4.6948	903.5305	1587.0121	11364
/Users/Remi/Dropbox/1_WORK/2015/4_PROJECTS/1_SOFTWARE/IMAGEJ_LIB/CELL SIGNALING ANALYSIS/2_CLASSIFY_BORDERCELLS/LOGISTIC REGRESSION/TRAINING DATA/BORDER	20170116_t0_ca_4	EDGE	1528	58.6003	971.3017	1100.8619	17932	262.0534	0.505	1.9801	968.6734	1157.8788	8494
/Users/Remi/Dropbox/1_WORK/2015/4_PROJECTS/1_SOFTWARE/IMAGEJ_LIB/CELL SIGNALING ANALYSIS/2_CLASSIFY_BORDERCELLS/LOGISTIC REGRESSION/TRAINING DATA/BORDER	20170116_t0_ca_4	EDGE	2197	65.1153	1214.5929	1206.9206	12945	207.8581	0.6041	1.6554	1200.7224	1245.749	9203
/Users/Remi/Dropbox/1_WORK/2015/4_PROJECTS/1_SOFTWARE/IMAGEJ_LIB/CELL SIGNALING ANALYSIS/2_CLASSIFY_BORDERCELLS/LOGISTIC REGRESSION/TRAINING DATA/BORDER	20170116_t0_ca_4	EDGE	1501	60	1296.999	1317.9997	109263	859.5813	0.2434	4.1085	1136.7719	1554.9096	12046
/Users/Remi/Dropbox/1_WORK/2015/4_PROJECTS/1_SOFTWARE/IMAGEJ_LIB/CELL SIGNALING ANALYSIS/2_CLASSIFY_BORDERCELLS/LOGISTIC REGRESSION/TRAINING DATA/BORDER	20170116_t0_ca_4	EDGE	1655	65.8635	1534.6311	1601.5876	199537	1297.1897	0.1745	5.7308	1353.9798	1671.9658	8669
/Users/Remi/Dropbox/1_WORK/2015/4_PROJECTS/1_SOFTWARE/IMAGEJ_LIB/CELL SIGNALING ANALYSIS/2_CLASSIFY_BORDERCELLS/LOGISTIC REGRESSION/TRAINING DATA/BORDER	20170116_t0_ca_4	EDGE	2124	78.5493	1405.5367	1361.2702	59568	593.8569	0.4228	2.3654	1459.1922	1410.8674	15723
/Users/Remi/Dropbox/1_WORK/2015/4_PROJECTS/1_SOFTWARE/IMAGEJ_LIB/CELL SIGNALING ANALYSIS/2_CLASSIFY_BORDERCELLS/LOGISTIC REGRESSION/TRAINING DATA/BORDER	20170116_t0_ca_4	EDGE	2461	68.593	1408.8096	1241.4342	73826	542.6647	0.3271	3.0574	1611.9962	1237.0967	9110
/Users/Remi/Dropbox/1_WORK/2015/4_PROJECTS/1_SOFTWARE/IMAGEJ_LIB/CELL SIGNALING ANALYSIS/2_CLASSIFY_BORDERCELLS/LOGISTIC REGRESSION/TRAINING DATA/BORDER	20170116_t0_ca_4	EDGE	1771	58.3095	1409.417	1068.295	46531	422.9066	0.446	2.2421	1513.4966	1079.272	14519
/Users/Remi/Dropbox/1_WORK/2015/4_PROJECTS/1_SOFTWARE/IMAGEJ_LIB/CELL SIGNALING ANALYSIS/2_CLASSIFY_BORDERCELLS/LOGISTIC REGRESSION/TRAINING DATA/BORDER	20170116_t0_ca_4	EDGE	2420	86.6833	1481.5665	873.7822	24151	238.7991	0.7509	1.3317	1483.0327	917.1938	10983
/Users/Remi/Dropbox/1_WORK/2015/4_PROJECTS/1_SOFTWARE/IMAGEJ_LIB/CELL SIGNALING ANALYSIS/2_CLASSIFY_BORDERCELLS/LOGISTIC REGRESSION/TRAINING DATA/BORDER	20170116_t0_ca_4	EDGE	1363	50.9215	1590.8551	846.69	103125	588.7589	0.415	2.4096	1771.7681	1020.4788	10249
/Users/Remi/Dropbox/1_WORK/2015/4_PROJECTS/1_SOFTWARE/IMAGEJ_LIB/CELL SIGNALING ANALYSIS/2_CLASSIFY_BORDERCELLS/LOGISTIC REGRESSION/TRAINING DATA/BORDER	20170116_t0_ca_4	EDGE	1510	57.7062	1715.5854	712.104	60521	678.6	0.2081	4.8053	1822.9924	842.0171	16202
/Users/Remi/Dropbox/1_WORK/2015/4_PROJECTS/1_SOFTWARE/IMAGEJ_LIB/CELL SIGNALING ANALYSIS/2_CLASSIFY_BORDERCELLS/LOGISTIC REGRESSION/TRAINING DATA/BORDER	20170116_t0_ca_4	EDGE	1539	57.2451	1835.8632	621.5396	52210	544.5411	0.282	3.5463	1933.8535	784.5762	10224
/Users/Remi/Dropbox/1_WORK/2015/4_PROJECTS/1_SOFTWARE/IMAGEJ_LIB/CELL SIGNALING ANALYSIS/2_CLASSIFY_BORDERCELLS/LOGISTIC REGRESSION/TRAINING DATA/BORDER	20170116_t0_ca_4	EDGE	2215	67.624	1790.644	616.3871	35502	339.2359	0.5216	1.917	1717.2424	549.3354	6777
/Users/Remi/Dropbox/1_WORK/2015/4_PROJECTS/1_SOFTWARE/IMAGEJ_LIB/CELL SIGNALING ANALYSIS/2_CLASSIFY_BORDERCELLS/LOGISTIC REGRESSION/TRAINING DATA/BORDER	20170116_t0_ca_4	EDGE	1947	84.8528	1878.4656	517.8909	18939	267.6864	0.4616	2.1662	1825.7465	488.9849	7187
/Users/Remi/Dropbox/1_WORK/2015/4_PROJECTS/1_SOFTWARE/IMAGEJ_LIB/CELL SIGNALING ANALYSIS/2_CLASSIFY_BORDERCELLS/LOGISTIC REGRESSION/TRAINING DATA/BORDER	20170116_t0_ca_4	EDGE	1724	58.6003	1864.8979	317.9165	47044	354.2316	0.5024	1.9905	1736.4466	339.7955	9126
/Users/Remi/Dropbox/1_WORK/2015/4_PROJECTS/1_SOFTWARE/IMAGEJ_LIB/CELL SIGNALING ANALYSIS/2_CLASSIFY_BORDERCELLS/LOGISTIC REGRESSION/TRAINING DATA/BORDER	20170116_t0_ca_4	EDGE	1292	47.4342	1871.5062	244.209	6716	337.2136	0.1424	7.0224	1804.7375	252.0205	4009
/Users/Remi/Dropbox/1_WORK/2015/4_PROJECTS/1_SOFTWARE/IMAGEJ_LIB/CELL SIGNALING ANALYSIS/2_CLASSIFY_BORDERCELLS/LOGISTIC REGRESSION/TRAINING DATA/BORDER	20170116_t0_ca_4	EDGE	1223	44.1022	262.7862	1074.2375	244807	1048.4393	0.2625	3.8092	137.9783	1557.424	13495
/Users/Remi/Dropbox/1_WORK/2015/4_PROJECTS/1_SOFTWARE/IMAGEJ_LIB/CELL SIGNALING ANALYSIS/2_CLASSIFY_BORDERCELLS/LOGISTIC REGRESSION/TRAINING DATA/BORDER	20170116_t60_ctrl20	EDGE	2385	61.8466	698.2317	1962.7654	33465	313.7467	0.4521	2.212	790.1653	1980.5052	6427
/Users/Remi/Dropbox/1_WORK/2015/4_PROJECTS/1_SOFTWARE/IMAGEJ_LIB/CELL SIGNALING ANALYSIS/2_CLASSIFY_BORDERCELLS/LOGISTIC REGRESSION/TRAINING DATA/BORDER	20170116_t60_ctrl20	EDGE	1497	49.0408	786.9342	1785.9977	44624	300.6659	0.8072	1.2388	885.6586	1822.7874	5216
