CLASS	VORO.protein3.ROUND	VORO.protein3.AR	VORO.Feret.norm	VORO.Area.norm	CYTO.Area.norm	NUVO.distance.norm
INTERIOR	0.969585470937081	-0.969373712210877	-0.219168234389817	-0.0444027245642428	0.697764849008833	0.171585580515966
INTERIOR	-0.133318402089767	0.133357477717832	-0.511889533494794	-0.507658028748912	-0.26243288242483	-0.882002602158361
INTERIOR	1.13620356354515	-1.13634358946676	-0.486913090803388	-0.540955148702683	-0.337150354532792	-0.722301574072769
INTERIOR	-0.104821736308845	0.104694729780485	-0.761453448696341	-0.758046322401932	-0.865321531892214	-0.917258422145625
INTERIOR	1.07249911372748	-1.07224237065888	-0.214927997739658	-0.0274991243309671	0.606660850231497	0.44422767447936
INTERIOR	-0.0790075809703838	0.0789712695105829	-0.603837377181292	-0.528863310194973	-0.312581376184529	-2.76283855133901
INTERIOR	-0.497297977751172	0.497486607822536	-0.432425319247239	-0.380560141578446	0.0178967764006127	-1.79456328664121
INTERIOR	0.60542285296536	-0.605491937604017	-0.545527852929231	-0.417208597094256	-0.066521635654615	-0.849567522658154
INTERIOR	0.914005198419672	-0.914086728338088	-0.555264803746882	-0.352475953789582	0.0772959242371743	-0.0849906382799812
INTERIOR	0.803801396540503	-0.803711938286255	-0.575063318553726	-0.491833146976169	-0.230489930134492	-0.183973934540711
EDGE	-2.64526438918429	2.64542588305836	2.25549129682157	1.97905409143093	1.5696759665724	2.07610232884612
INTERIOR	-0.668908996088849	0.668809674998444	-0.506945139086943	-0.891096725641402	-1.22605543263451	-1.65724390846554
INTERIOR	-0.112166619779353	0.112033761837058	-0.667055222693762	-0.641203749646195	-0.577926456758289	-0.312614941646113
INTERIOR	0.0720041162135043	-0.0722079710353363	-0.801546511401165	-0.954966193149569	-1.41766688579595	-0.841423284860013
INTERIOR	0.760754538247402	-0.760686248568801	-0.687029188922307	-0.518681676602365	-0.289155158485608	-0.139625434090818
EDGE	-0.791442506194192	0.791630132099415	0.989462238467579	1.35580638522857	-0.235582710228185	1.67457628355257
INTERIOR	0.109211580321466	-0.108996406424689	-0.440908542530797	-0.293207959007692	0.202857454560682	0.223266649368722
INTERIOR	-0.171057690343277	0.171298544353886	-0.68172303554871	-0.624193174139981	-0.536875795949055	-0.234616317806214
EDGE	-0.80855908770642	0.80878734617073	0.229427911234859	-0.374607278299353	-0.0680870646515642	-1.0136499487234
INTERIOR	0.535724000864932	-0.535695654365644	-0.276647098345828	-0.129793262807347	0.535090429093544	-0.0407630454923947
EDGE	-0.498962590599786	0.49888684797138	0.269102298948078	0.1740921518226	0.0101467506381926	0.866230991027913
EDGE	0.406861934771661	-0.406936610399255	0.113818678020884	0.697459500210498	0.947059907962004	0.601345679315466
INTERIOR	0.758530897329668	-0.758589773932831	0.441029531104034	0.89371322631698	1.86485914459863	0.793692198384271
INTERIOR	-0.390961993427556	0.391177403782899	-0.0744294352963516	-0.111015165204103	0.574912415049502	-0.0766263394123116
INTERIOR	-0.319938176262328	0.31990334463567	-0.287280996297446	-0.478918248297612	-0.199386542445005	-0.59384814121105
EDGE	-3.59231191529961	3.59223678213327	2.62198660287785	2.15369899830072	2.35307706644235	1.97563153397385
EDGE	-2.18291398806782	2.18313794255881	1.93698096126277	1.85022460715402	0.61407743933641	1.98671192293523
