EXP_ID	FILES_KEY	CLASS	NUCL.dna.AREA	NUCL.dna.INT_MEAN	NUCL.dna.INT_STDEV	NUCL.dna.INT_MEDIAN	NUCL.dna.FERET	NUCL.dna.INT_DENSITY	NUCL.dna.RND	NUCL.dna.ASPECTRATIO	NUCL.dna.X	NUCL.dna.Y	VORO.dna.AREA	VORO.dna.INT_MEAN	VORO.dna.INT_STDEV	VORO.dna.INT_MEDIAN	VORO.dna.FERET	VORO.dna.INT_DENSITY	VORO.dna.RND	VORO.dna.ASPECTRATIO	VORO.dna.X	VORO.dna.Y	CYTO.dna.INT_MEAN	CYTO.dna.FERET	CYTO.dna.AREA	NUCL.protein3.AREA	NUCL.protein3.INT_MEAN	NUCL.protein3.INT_STDEV	NUCL.protein3.INT_MEDIAN	NUCL.protein3.FERET	NUCL.protein3.INT_DENSITY	NUCL.protein3.RND	NUCL.protein3.ASPECTRATIO	NUCL.protein3.X	NUCL.protein3.Y	VORO.protein3.AREA	VORO.protein3.INT_MEAN	VORONOI.protein3.INT_STDEV	VORONOI.protein3.INT_MEDIAN	VORONOI.protein3.FERET	VORONOI.protein3.INT_DEN	VORONOI.protein3.ROUND	VORONOI.protein3.AR	VORONOI.protein3.CENTRE_X	VORONOI.protein3.CENTRE_Y	CYTO.protein3.INT_MEDIAN_VOROONLY	CYTO.protein3.FERET	CYTO.protein3.AREA
/Users/Remi/Dropbox/1_WORK/2015/4_PROJECTS/1_SOFTWARE/IMAGEJ_LIB/CELL SIGNALING ANALYSIS/2_CLASSIFY_BORDERCELLS/LOGISTIC REGRESSION/TRAINING DATA/BORDER	20170116_t0_ca_4	EDGE	3008	1194.3803	261.7672	1204	76.9415	3592696	0.6335	1.5784	829.6094	743.624	43512	217.7397	296.0555	124	430.0419	9474291	0.3992	2.5049	833.8103	629.007	275	430.0419	1985	3008	165.3324	60.0564	160	76.9415	497320	0.6335	1.5784	829.6094	743.624	43512	131.6543	140.1321	97	430.0419	5728541	0.3992	2.5049	833.8103	629.007	217	430.0419	23067
/Users/Remi/Dropbox/1_WORK/2015/4_PROJECTS/1_SOFTWARE/IMAGEJ_LIB/CELL SIGNALING ANALYSIS/2_CLASSIFY_BORDERCELLS/LOGISTIC REGRESSION/TRAINING DATA/BORDER	20170116_t0_ca_4	EDGE	1462	2384.3529	535.1414	2324	56.5155	3485924	0.5851	1.709	1072.7182	654.2189	106019	151.0194	284.666	111	706.1707	16010928	0.3548	2.8184	964.5464	432.3832	194	706.1707	2638	1462	470.8406	110.7355	466	56.5155	688369	0.5851	1.709	1072.7182	654.2189	106019	46.5127	108.2247	0	706.1707	4931225	0.3548	2.8184	964.5464	432.3832	180	706.1707	17838
/Users/Remi/Dropbox/1_WORK/2015/4_PROJECTS/1_SOFTWARE/IMAGEJ_LIB/CELL SIGNALING ANALYSIS/2_CLASSIFY_BORDERCELLS/LOGISTIC REGRESSION/TRAINING DATA/BORDER	20170116_t0_ca_4	EDGE	2200	1683.3205	404.6659	1668	64.6375	3703305	0.7092	1.4101	1325.5459	439.5114	286299	125.3427	148.4248	110	875.0709	35885503	0.6378	1.5678	1226.5052	222.7945	283	875.0709	1900	2200	458.0068	117.7618	458	64.6375	1007615	0.7092	1.4101	1325.5459	439.5114	286299	12.8056	54.948	0	875.0709	3666222	0.6378	1.5678	1226.5052	222.7945	124	875.0709	13810
/Users/Remi/Dropbox/1_WORK/2015/4_PROJECTS/1_SOFTWARE/IMAGEJ_LIB/CELL SIGNALING ANALYSIS/2_CLASSIFY_BORDERCELLS/LOGISTIC REGRESSION/TRAINING DATA/BORDER	20170116_t0_ca_4	EDGE	1351	2582.9904	570.4096	2535	45.8912	3489620	0.8678	1.1523	1406.5437	564.1825	39986	210.8754	470.4877	113	312.6564	8432063	0.5934	1.6852	1501.8095	511.4046	279	312.6564	1271	1351	367.1355	87.4099	361	45.8912	496000	0.8678	1.1523	1406.5437	564.1825	39986	35.6457	84.2704	0	312.6564	1425329	0.5934	1.6852	1501.8095	511.4046	125	312.6564	6003
/Users/Remi/Dropbox/1_WORK/2015/4_PROJECTS/1_SOFTWARE/IMAGEJ_LIB/CELL SIGNALING ANALYSIS/2_CLASSIFY_BORDERCELLS/LOGISTIC REGRESSION/TRAINING DATA/BORDER	20170116_t0_ca_4	EDGE	3077	2519.453	478.1562	2487	71.8471	7752357	0.7354	1.3599	1314.1406	604.1851	15917	654.7512	963.0224	165	227.2466	10421675	0.495	2.0202	1270.9939	580.6076	254	227.2466	3716	3077	518.261	111.5196	509	71.8471	1594689	0.7354	1.3599	1314.1406	604.1851	15917	324.7651	217.549	358	227.2466	5169286	0.495	2.0202	1270.9939	580.6076	365	227.2466	10373
/Users/Remi/Dropbox/1_WORK/2015/4_PROJECTS/1_SOFTWARE/IMAGEJ_LIB/CELL SIGNALING ANALYSIS/2_CLASSIFY_BORDERCELLS/LOGISTIC REGRESSION/TRAINING DATA/BORDER	20170116_t0_ca_4	EDGE	2371	1678.5664	286.9703	1661	68.884	3979881	0.6547	1.5274	365.6105	701.2166	39787	227.0594	390.357	114	497.6907	9034013	0.2871	3.4834	435.443	572.6827	179	497.6907	4591	2371	571.1679	121.4952	570	68.884	1354239	0.6547	1.5274	365.6105	701.2166	39787	146.8255	247.0879	0	497.6907	5841748	0.2871	3.4834	435.443	572.6827	479	497.6907	9368
/Users/Remi/Dropbox/1_WORK/2015/4_PROJECTS/1_SOFTWARE/IMAGEJ_LIB/CELL SIGNALING ANALYSIS/2_CLASSIFY_BORDERCELLS/LOGISTIC REGRESSION/TRAINING DATA/BORDER	20170116_t0_ca_4	EDGE	2299	3224.8108	637.8188	3260	69.2026	7413840	0.6366	1.5708	281.8636	651.3795	65738	234.9951	591.7093	111	512.0644	15448109	0.4518	2.2135	335.7502	483.1248	223	512.0644	4530	2299	303.6929	104.4029	282	69.2026	698190	0.6366	1.5708	281.8636	651.3795	65738	59.3933	161.2223	0	512.0644	3904395	0.4518	2.2135	335.7502	483.1248	355	512.0644	8322
/Users/Remi/Dropbox/1_WORK/2015/4_PROJECTS/1_SOFTWARE/IMAGEJ_LIB/CELL SIGNALING ANALYSIS/2_CLASSIFY_BORDERCELLS/LOGISTIC REGRESSION/TRAINING DATA/BORDER	20170116_t0_ca_4	EDGE	1345	2844.4766	570.6397	2829	50.8035	3825821	0.6865	1.4567	58.0375	293.9535	52232	194.2069	453.0084	112	460.6539	10143816	0.5037	1.9852	210.851	328.6181	192	460.6539	2160	1345	363.1197	82.2695	362	50.8035	488396	0.6865	1.4567	58.0375	293.9535	52232	26.4767	78.8746	0	460.6539	1382929	0.5037	1.9852	210.851	328.6181	168	460.6539	3954
/Users/Remi/Dropbox/1_WORK/2015/4_PROJECTS/1_SOFTWARE/IMAGEJ_LIB/CELL SIGNALING ANALYSIS/2_CLASSIFY_BORDERCELLS/LOGISTIC REGRESSION/TRAINING DATA/BORDER	20170116_t0_ca_4	EDGE	1165	3450.2807	673.1319	3584	43.8292	4019577	0.9014	1.1094	66.1506	189.3421	48378	203.0941	529.2685	112	532.3392	9825288	0.222	4.5041	273.0518	208.083	272	532.3392	1247	1165	336.0918	85.05	336	43.8292	391547	0.9014	1.1094	66.1506	189.3421	48378	19.8823	68.9143	0	532.3392	961868	0.222	4.5041	273.0518	208.083	155	532.3392	3090
/Users/Remi/Dropbox/1_WORK/2015/4_PROJECTS/1_SOFTWARE/IMAGEJ_LIB/CELL SIGNALING ANALYSIS/2_CLASSIFY_BORDERCELLS/LOGISTIC REGRESSION/TRAINING DATA/BORDER	20170116_t0_ca_4	EDGE	2458	1480.4264	246.546	1474	72.0902	3638888	0.6712	1.4899	173.3377	674.1359	22294	313.4835	440.5406	141	275.855	6988801	0.4432	2.2563	160.2827	622.1786	414	275.855	1007	2458	311.238	94.834	296	72.0902	765023	0.6712	1.4899	173.3377	674.1359	22294	238.9993	179.3869	226	275.855	5328250	0.4432	2.2563	160.2827	622.1786	248	275.855	16381
